Product ID | Product Name | Type | Description | Price
1 | some jerky | 1 | Сведения о составе: Картофель, растительные масла*, комплексная пищевая добавка [мука пшеничная, соль, порошок молочной сыворотки, молоко сухое цельное, усилитель вкуса и аромата (глутамат натрия 1-замещенный), сахар, овощи сушёные (порошок лука, порошок чеснока), сырный порошок (содержит эмульгирующую соль (орто-фосфат натрия 2-замещённый)), порошок пахты, вкусоароматические вещества, регуляторы кислотности (молочная кислота, лактат кальция, лимонная кислота), дрожжевой экстракт, перец чёрный, подсолнечное масло, агент антислеживающий (диоксид кремния аморфный)]Пищевая ценность: 530,6.5,31,53Условия хранения: 25,10Срок годности в днях: 168Страна изготовления: РоссияСведения об упаковке: Флоу-пакПроизводитель: ПепсиКо Холдингс | 400
3 | some Crackers | 3 | Сведения о составе: Картофель, растительные масла*, комплексная пищевая добавка [мука пшеничная, соль, порошок молочной сыворотки, молоко сухое цельное, усилитель вкуса и аромата (глутамат натрия 1-замещенный), сахар, овощи сушёные (порошок лука, порошок чеснока), сырный порошок (содержит эмульгирующую соль (орто-фосфат натрия 2-замещённый)), порошок пахты, вкусоароматические вещества, регуляторы кислотности (молочная кислота, лактат кальция, лимонная кислота), дрожжевой экстракт, перец чёрный, подсолнечное масло, агент антислеживающий (диоксид кремния аморфный)]Пищевая ценность: 530,6.5,31,53Условия хранения: 25,10Срок годности в днях: 168Страна изготовления: РоссияСведения об упаковке: Флоу-пакПроизводитель: ПепсиКо Холдингс | 5000
4 | Hazel | 4 | Сведения о составе: Картофель, растительные масла*, комплексная пищевая добавка [мука пшеничная, соль, порошок молочной сыворотки, молоко сухое цельное, усилитель вкуса и аромата (глутамат натрия 1-замещенный), сахар, овощи сушёные (порошок лука, порошок чеснока), сырный порошок (содержит эмульгирующую соль (орто-фосфат натрия 2-замещённый)), порошок пахты, вкусоароматические вещества, регуляторы кислотности (молочная кислота, лактат кальция, лимонная кислота), дрожжевой экстракт, перец чёрный, подсолнечное масло, агент антислеживающий (диоксид кремния аморфный)]Пищевая ценность: 530,6.5,31,53Условия хранения: 25,10Срок годности в днях: 168Страна изготовления: РоссияСведения об упаковке: Флоу-пакПроизводитель: ПепсиКо Холдингс | 4000
5 | Hazel | 4 | Сведения о составе: Картофель, растительные масла*, комплексная пищевая добавка [мука пшеничная, соль, порошок молочной сыворотки, молоко сухое цельное, усилитель вкуса и аромата (глутамат натрия 1-замещенный), сахар, овощи сушёные (порошок лука, порошок чеснока), сырный порошок (содержит эмульгирующую соль (орто-фосфат натрия 2-замещённый)), порошок пахты, вкусоароматические вещества, регуляторы кислотности (молочная кислота, лактат кальция, лимонная кислота), дрожжевой экстракт, перец чёрный, подсолнечное масло, агент антислеживающий (диоксид кремния аморфный)]Пищевая ценность: 530,6.5,31,53Условия хранения: 25,10Срок годности в днях: 168Страна изготовления: РоссияСведения об упаковке: Флоу-пакПроизводитель: ПепсиКо Холдингс | 4000
6 | Crackers | 3 | Сведения о составе: Картофель, растительные масла*, комплексная пищевая добавка [мука пшеничная, соль, порошок молочной сыворотки, молоко сухое цельное, усилитель вкуса и аромата (глутамат натрия 1-замещенный), сахар, овощи сушёные (порошок лука, порошок чеснока), сырный порошок (содержит эмульгирующую соль (орто-фосфат натрия 2-замещённый)), порошок пахты, вкусоароматические вещества, регуляторы кислотности (молочная кислота, лактат кальция, лимонная кислота), дрожжевой экстракт, перец чёрный, подсолнечное масло, агент антислеживающий (диоксид кремния аморфный)]Пищевая ценность: 530,6.5,31,53Условия хранения: 25,10Срок годности в днях: 168Страна изготовления: РоссияСведения об упаковке: Флоу-пакПроизводитель: ПепсиКо Холдингс | 3000
8 | jerky | 1 | FFFFFFFFFFFFFFFFFFFFFFFFAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA | 5000
9 | jerky | 1 | FFFFFFFFFFFFFFFFFFFFFFFFAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA | 5000
10 | crackers | 4 | FAFAFAFAFAFaf | 3000
11 | AAAAAAAAAAA | 3 | FFFFFFFFFFFFFFFFFFFFFFFFFFF | 1000
13 | hazel | 4 | NFJSDNFJKDSNK | 3000
14 | jerky | 4 | NFJSDNFJKDSNK | 3000
7 | Hazel | 5 | AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA | 3000
12 | chips | 5 | NFJSDNFJKDSNK | 3000
15 | chips | 5 | AFAFAFAFAF | 3000
16 | CHIPS | 1 | khjhvyuvgfhgfgh | 2000
17 | Hazel | 4 | nadjfbadjkfbdsjk | 2000
